,地级市,地级市编号,年份,年份编号,,省份,省份年份,2001~2008的分区,2009~2018的分区,地理区位,清运量,无害化处理量,卫生填埋量,焚烧量,堆肥量,简易填埋量,有机组分,灰分,纸类,塑料,织物,木竹,金属,玻璃,其他,有机组分C,灰分C,纸类C,塑料C,织物C,竹木C,玻璃C,金属C,其他C,有机组分N,灰分N,纸类N,塑料N,织物N,竹木N,玻璃N,金属N,其他N,有机组分K,灰分K,纸类K,塑料K,织物K,竹木K,玻璃K,金属K,其他K,有机组分P,灰分P,纸类P,塑料P,织物P,竹木P,玻璃P,金属P,其他P,卫生填埋CH4氧化因子,简易填埋CH4氧化因子,卫生填埋CH4修正因子（MCF）,简易填埋CH4修正因子（MCF）,卫生填埋CH4收集率%,简易填埋CH4收集率%,纸类/织物k,竹木k,园林和公园废弃物k,食物垃圾k,食物垃圾DOCf,木材DOCf,纸张DOCf,织物DOCf,园林废物DOCf,纸类DOC（%）,竹木DOC（%）,织物DOC（%）,食物垃圾DOC（%）,卫生填埋垃圾渗滤液量（立方米/吨垃圾）,简易填埋垃圾渗滤液量（立方米/吨垃圾）,卫生填埋垃圾渗滤液COD（克/立方米）,简易填埋垃圾渗滤液COD（克/立方米）,卫生填埋垃圾渗滤液NH4-N（克/立方米）,简易填埋垃圾渗滤液NH4-N（克/立方米）,卫生填埋垃圾渗滤液总磷（克/立方米）,简易填埋垃圾渗滤液总磷（克/立方米）,卫生填埋垃圾渗滤液TN（克/立方米）,简易填埋垃圾渗滤液TN（克/立方米）,填埋垃圾渗滤液K（克/立方米）,灰渣有机碳
204,巴中,11,2020,20,巴中2020,Sichuan,Sichuan2020,湿润区,湿润 I 区,Southwest,13.0839,13.0829,0,13.0829,0,0.001,0.414990278,0.253224894,0.112474162,0.133072918,0.017948095,0.028735785,0.006910706,0.015943054,0.016700108,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.3,0.55,6550,5150,1925,1130,15,12.3,2038,1420,657.74,4.93
224,白城,12,2020,20,白城2020,Jilin,Jilin2020,半湿润区,干旱半干旱区,Northeast,31.1445,31.1445,31.1445,0,0,0,0.448395063,0.272649614,0.095442075,0.126149315,0.018514944,0.014146722,0.007017908,0.016189591,0.001494767,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,7940,6000,948,730,7.1,5.5,1264,972,921.73,2.48
244,白山,13,2020,20,白山2020,Jilin,Jilin2020,半湿润区,湿润 I 区,Northeast,14.956406,14.956406,4.203012,10.753394,0,0,0.495404795,0.202481334,0.103145406,0.141560677,0.018539272,0.014159258,0.007017057,0.016189462,0.001502739,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,7940,6000,948,730,7.1,5.5,1264,972,921.73,2.48
264,白银,14,2020,20,白银2020,Gansu,Gansu2020,干旱半干旱区,干旱半干旱区,Northwest,12.645138,12.645138,0,12.645138,0,0,0.415848475,0.239715272,0.11742478,0.136024982,0.017861219,0.033385085,0.006909018,0.015939956,0.016891213,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.15,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.07,0.05,7940,6000,948,730,7.1,5.5,1264,972,921.73,2.48
284,百色,15,2020,20,百色2020,Guangxi,Guangxi2020,强降雨区,湿润 I 区,South,27.194721,27.194721,18.1233,3.18,5.891421,0,0.436021922,0.243761156,0.112648192,0.137889008,0.018274363,0.013974727,0.006925632,0.015978294,0.014526707,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.07,0.035,0.17,0.4,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,1658.4,4.93
304,蚌埠,16,2020,20,蚌埠2020,Anhui,Anhui2020,湿润区,湿润 I 区,East,38.28851,38.28851,0,37.3999,0.88861,0,0.495733581,0.179734471,0.118854618,0.141002959,0.018383491,0.014049913,0.006962871,0.016064438,0.009213658,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
324,包头,17,2020,20,包头2020,Neimenggu ,Neimenggu 2020,干旱半干旱区,干旱半干旱区,North,76.466599,76.466599,42.174245,34.292354,0,0,0.571678847,0.102908163,0.12373294,0.142724566,0.018515997,0.014136115,0.007005581,0.016163,0.003134789,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.07,0.05,7940,6000,948,730,7.1,5.5,1264,972,921.73,2.48
344,宝鸡,18,2020,20,宝鸡2020,Shannxi,Shannxi2020,半湿润区,半湿润区,Northwest,33.779951,33.779951,33.779951,0,0,0,0.466808385,0.178489546,0.125228685,0.138121045,0.018224904,0.033385007,0.006908895,0.015939917,0.016893616,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.15,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.3,0.55,5900,4380,1470,1010,19,14.1,1600,1200,921.73,2.48
364,保定,19,2020,20,保定2020,Hebei,Hebei2020,半湿润区,半湿润区,North,92.262638,92.255138,29.6876,62.567538,0,0.0075,0.517585092,0.16334692,0.120741508,0.140537809,0.018507028,0.014153171,0.007014054,0.016182503,0.001931914,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,2.48
384,保山,20,2020,20,保山2020,Yunnan,Yunnan2020,湿润区,湿润 I 区,Southwest,18.971324,18.971324,9.020118,9.951206,0,0,0.41703948,0.262018962,0.094277119,0.135648103,0.01791596,0.033385978,0.006909116,0.015940383,0.016864901,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.3,0.55,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
