,地级市,地级市编号,年份,年份编号,,省份,省份年份,2001~2008的分区,2009~2018的分区,地理区位,清运量,无害化处理量,卫生填埋量,焚烧量,堆肥量,简易填埋量,有机组分,灰分,纸类,塑料,织物,木竹,金属,玻璃,其他,有机组分C,灰分C,纸类C,塑料C,织物C,竹木C,玻璃C,金属C,其他C,有机组分N,灰分N,纸类N,塑料N,织物N,竹木N,玻璃N,金属N,其他N,有机组分K,灰分K,纸类K,塑料K,织物K,竹木K,玻璃K,金属K,其他K,有机组分P,灰分P,纸类P,塑料P,织物P,竹木P,玻璃P,金属P,其他P,卫生填埋CH4氧化因子,简易填埋CH4氧化因子,卫生填埋CH4修正因子（MCF）,简易填埋CH4修正因子（MCF）,卫生填埋CH4收集率%,简易填埋CH4收集率%,纸类/织物k,竹木k,园林和公园废弃物k,食物垃圾k,食物垃圾DOCf,木材DOCf,纸张DOCf,织物DOCf,园林废物DOCf,纸类DOC（%）,竹木DOC（%）,织物DOC（%）,食物垃圾DOC（%）,卫生填埋垃圾渗滤液量（立方米/吨垃圾）,简易填埋垃圾渗滤液量（立方米/吨垃圾）,卫生填埋垃圾渗滤液COD（克/立方米）,简易填埋垃圾渗滤液COD（克/立方米）,卫生填埋垃圾渗滤液NH4-N（克/立方米）,简易填埋垃圾渗滤液NH4-N（克/立方米）,卫生填埋垃圾渗滤液总磷（克/立方米）,简易填埋垃圾渗滤液总磷（克/立方米）,卫生填埋垃圾渗滤液TN（克/立方米）,简易填埋垃圾渗滤液TN（克/立方米）,填埋垃圾渗滤液K（克/立方米）,灰渣有机碳
1718,河源,90,2020,20,河源2020,Guangdong,Guangdong2020,强降雨区,湿润 II 区,South,33,32.401121,32.401121,0,0,0.598879,0.454432925,0.211078996,0.112885536,0.138678584,0.018184155,0.02565517,0.006913631,0.015950836,0.016220166,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.07,0.035,0.17,0.4,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5020,3720,1120,930,13,9.6,1500,1120,1658.4,4.93
1738,菏泽,91,2020,20,菏泽2020,Shandong,Shandong2020,半湿润区,半湿润区,East,46.5735,46.5735,4.7275,39.7805,2.0655,0,0.713674575,0.018108996,0.169021341,0.001124807,0.040093656,0.033930724,0.007021821,0.000130133,0.016893946,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,657.74,4.93
1758,贺州,92,2020,20,贺州2020,Guangxi,Guangxi2020,强降雨区,湿润 I 区,South,17.95796,17.95796,0,17.95796,0,0,0.537086504,0.09870938,0.116089349,0.135760476,0.039273593,0.033386691,0.006909236,0.015940721,0.016844052,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.07,0.035,0.17,0.4,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,1658.4,4.93
1778,鹤壁,93,2020,20,鹤壁2020,Henan,Henan2020,半湿润区,半湿润区,Central,22.9399,22.9399,22.9399,0,0,0,0.440987755,0.236651313,0.113324344,0.138777736,0.01826613,0.013969165,0.006921317,0.01596845,0.01513379,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,4.93
1798,鹤岗,94,2020,20,鹤岗2020,Heilongjiang,Heilongjiang2020,半湿润区,半湿润区,Northeast,12.645019,12.645019,12.645019,0,0,0,0.45449859,0.287923628,0.091674738,0.112657459,0.01859586,0.009946481,0.007018748,0.016189589,0.001494908,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,2.48
1818,黑河,95,2020,20,黑河2020,Heilongjiang,Heilongjiang2020,半湿润区,半湿润区,Northeast,19.993234,19.99322,19.99322,0,0,0.000014,0.451878926,0.288742567,0.096220448,0.106701543,0.018532766,0.013216678,0.007023132,0.016189598,0.001494341,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,2.48
1838,衡水,96,2020,20,衡水2020,Hebei,Hebei2020,半湿润区,半湿润区,North,31.18249,31.18249,11.2581,19.92439,0,0,0.471106374,0.219937343,0.11334721,0.138125127,0.018512664,0.014157733,0.007016385,0.016187732,0.001609431,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,2.48
1858,衡阳,97,2020,20,衡阳2020,Hunan,Hunan2020,强降雨区,湿润 I 区,Central,80.882684,80.882684,45.38,31.946064,3.55662,0,0.49221474,0.170806517,0.125954452,0.139469705,0.018263001,0.013946785,0.006911773,0.015946518,0.016486509,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
1878,红河哈尼族彝族自治州,98,2020,20,红河哈尼族彝族自治州2020,Yunnan,Yunnan2020,湿润区,湿润 I 区,Southwest,33.11132,33.11132,33.11132,0,0,0,0.378822354,0.158720192,0.091791092,0.272035389,0.025540222,0.033379667,0.006909158,0.015940434,0.016861491,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.3,0.55,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
1898,呼和浩特,99,2020,20,呼和浩特2020,Neimenggu ,Neimenggu 2020,干旱半干旱区,干旱半干旱区,North,74.502149,74.502149,0,74.502149,0,0,0.535057525,0.143998271,0.12132016,0.141573386,0.018502958,0.014149252,0.007012099,0.016178022,0.002208327,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.07,0.05,7940,6000,948,730,7.1,5.5,1264,972,921.73,2.48
1918,呼伦贝尔,100,2020,20,呼伦贝尔2020,Neimenggu ,Neimenggu 2020,干旱半干旱区,干旱半干旱区,North,45.763243,45.573349,45.573349,0,0,0.189894,0.459978592,0.237022559,0.106439454,0.139106069,0.018513974,0.014158213,0.007016597,0.01618827,0.001576272,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.07,0.05,7940,6000,948,730,7.1,5.5,1264,972,921.73,2.48
1938,葫芦岛,101,2020,20,葫芦岛2020,Liaoning,Liaoning2020,半湿润区,半湿润区,Northeast,32,32,32,0,0,0,0.47240442,0.226338622,0.108467705,0.135411754,0.018514689,0.014159128,0.007017227,0.016189557,0.001496899,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,2.48
1958,湖州,102,2020,20,湖州2020,Zhejiang,Zhejiang2020,强降雨区,湿润 I 区,East,44.9005,44.9005,0,35.0636,9.8369,0,0.548469405,0.117737146,0.120971445,0.141470494,0.0203356,0.013980364,0.006928364,0.01598485,0.014122332,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
1978,怀化,103,2020,20,怀化2020,Hunan,Hunan2020,强降雨区,湿润 I 区,Central,27.176365,27.176294,27.176294,0,0,0.000071,0.437248682,0.240164429,0.117287429,0.135536539,0.018273419,0.013973321,0.006925155,0.015976876,0.01461415,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
1998,淮安,104,2020,20,淮安2020,Jiangsu,Jiangsu2020,湿润区,湿润 I 区,East,72.814223,72.814223,23.524738,49.289485,0,0,0.586198195,0.072670579,0.126785402,0.141442981,0.020319882,0.013957236,0.006916922,0.015958454,0.015750349,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.3,0.55,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
2018,淮北,105,2020,20,淮北2020,Anhui,Anhui2020,湿润区,湿润 I 区,East,29.468414,29.468414,0,27.629637,1.838777,0,0.463674953,0.219597572,0.117116048,0.138864992,0.018448753,0.014108739,0.006992091,0.016131702,0.005065151,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
2038,淮南,106,2020,20,淮南2020,Anhui,Anhui2020,湿润区,湿润 I 区,East,36.47344,36.47344,23.664124,10.814617,1.994699,0,0.473180991,0.205762504,0.122580286,0.137163747,0.01846526,0.014100629,0.006988136,0.016122446,0.005636002,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
2058,黄冈,107,2020,20,黄冈2020,Hubei,Hubei2020,强降雨区,湿润 I 区,Central,44.1687,44.1687,32.3266,11.8421,0,0,0.439563695,0.238426379,0.11343744,0.138516498,0.018268515,0.013970025,0.006922814,0.015971872,0.014922761,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,921.73,4.93
2079,黄山,108,2020,20,黄山2020,Anhui,Anhui2020,强降雨区,湿润 II 区,East,13.155198,13.155198,1.0324,11.474721,0.648077,0,0.468698507,0.216081343,0.112062818,0.141152341,0.018455466,0.014090298,0.00698289,0.016110614,0.006365721,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
2099,黄石,109,2020,20,黄石2020,Hubei,Hubei2020,强降雨区,湿润 I 区,Central,31.248524,31.248524,0,30.408729,0.839795,0,0.517654358,0.130508975,0.120812384,0.138207166,0.019882972,0.03331698,0.00690979,0.015941996,0.016765379,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,921.73,4.93
2119,惠州,110,2020,20,惠州2020,Guangdong,Guangdong2020,强降雨区,湿润 II 区,South,125.883305,125.883305,44.954197,80.929108,0,0,0.521492221,0.139153006,0.126966288,0.140622799,0.018252716,0.013950853,0.006910191,0.01594291,0.016709017,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.07,0.035,0.17,0.4,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5020,3720,1120,930,13,9.6,1500,1120,1658.4,4.93
2139,鸡西,111,2020,20,鸡西2020,Heilongjiang,Heilongjiang2020,半湿润区,半湿润区,Northeast,33.5746,33.5746,9.9676,23.607,0,0,0.469752848,0.309625563,0.08065972,0.096469607,0.018787473,0.000000367,0.007020081,0.016189592,0.001494749,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,2.48
2159,吉安,112,2020,20,吉安2020,Jiangxi,Jiangxi2020,强降雨区,湿润 I 区,East,20.503375,20.503375,0.903375,19.6,0,0,0.448751028,0.241407988,0.114404139,0.136061357,0.018475608,0.014129299,0.00700244,0.016155248,0.003612893,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5020,3720,1120,930,13,9.6,1500,1120,657.74,4.93
2179,吉林,113,2020,20,吉林2020,Jilin,Jilin2020,半湿润区,半湿润区,Northeast,64.704673,64.704673,14.193373,0,6.231,0,0.553935464,0.128386085,0.118745161,0.141533128,0.018515311,0.014159017,0.007016937,0.016189187,0.001519711,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,7940,6000,948,730,7.1,5.5,1264,972,921.73,2.48
2219,济南,114,2020,20,济南2020,Shandong,Shandong2020,半湿润区,半湿润区,East,231.8092998,231.8093789,47.0973,208.553638,12.866319,0,0.59186983,0.065027396,0.1307155,0.141443118,0.018328528,0.013956738,0.006916684,0.015957903,0.015784303,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,657.74,4.93
2239,济宁,115,2020,20,济宁2020,Shandong,Shandong2020,半湿润区,半湿润区,East,95.408771,95.408771,0,91.905073,3.503698,0,0.514456231,0.155194413,0.123823571,0.14040625,0.018345375,0.014028062,0.006952044,0.016039454,0.0107546,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,657.74,4.93
2259,济源,116,2020,20,济源2020,Henan,Henan2020,半湿润区,半湿润区,Central,18.908565,18.908565,0,18.908565,0,0,0.486499896,0.177890129,0.121743889,0.138968917,0.019045772,0.016813124,0.006914005,0.015951607,0.016172662,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,4.93
2279,佳木斯,117,2020,20,佳木斯2020,Heilongjiang,Heilongjiang2020,半湿润区,半湿润区,Northeast,33.697,33.697,33.697,0,0,0,0.452747473,0.263924997,0.105857947,0.120192228,0.018516667,0.014057527,0.007018772,0.016189591,0.001494799,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,2.48
2299,嘉兴,118,2020,20,嘉兴2020,Zhejiang,Zhejiang2020,强降雨区,湿润 I 区,East,82.190199,82.190197,0,67.512006,14.678191,0.000002,0.564371249,0.093777087,0.120933043,0.140345742,0.028479933,0.013975554,0.00692058,0.015966892,0.015229921,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.06,0.03,0.1,0.185,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5900,4380,1470,1010,19,14.1,1600,1200,657.74,4.93
2319,嘉峪关,119,2020,20,嘉峪关2020,Gansu,Gansu2020,干旱半干旱区,干旱半干旱区,Northwest,10.387137,10.387137,10.387137,0,0,0,0.441907319,0.207895701,0.120286176,0.137938104,0.018845585,0.033385019,0.0069089,0.015939923,0.016893273,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.15,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,28.53,35.51,27.68,10.19,0.07,0.05,7940,6000,948,730,7.1,5.5,1264,972,921.73,2.48
2349,江门,120,2020,20,江门2020,Guangdong,Guangdong2020,强降雨区,湿润 II 区,South,122.739719,122.739719,98.473857,23.290665,0.975197,0,0.553094737,0.091960449,0.126288806,0.138738339,0.018796841,0.031437575,0.006909314,0.015940899,0.016833039,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.07,0.035,0.17,0.4,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5020,3720,1120,930,13,9.6,1500,1120,1658.4,4.93
2369,焦作,121,2020,20,焦作2020,Henan,Henan2020,半湿润区,半湿润区,Central,47.5332,47.5332,47.5332,0,0,0,0.462529948,0.207142142,0.119887417,0.139268567,0.018246645,0.013952469,0.006914459,0.015952693,0.016105659,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.2,1,0.61,40,5,0.04,0.02,0.05,0.06,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.15,0.25,6550,5150,1925,1130,15,12.3,2038,1420,921.73,4.93
2389,揭阳,122,2020,20,揭阳2020,Guangdong,Guangdong2020,强降雨区,湿润 II 区,South,72.4602,72.3602,47.1487,25.2115,0,0.1,0.475488049,0.192145885,0.120951895,0.139991588,0.01825053,0.0139586,0.006912711,0.015948698,0.016352044,0.184,0.5,0.35,0.574,0.357,0.45,0.003,0.21,0.203,0.0108,0.005,0.00365,0.00354,0.0235,0.004,0,0.000903,0.00727,0.00732,0.013,0.0007295,0.00075,0.000706,0.000964,0.00659,0.00047,0,0.00184,0.0383,0.000105,0.000391,0.000764,0.000219,0,0.00009,0.0001,0,0.3,1,0.61,40,5,0.07,0.035,0.17,0.4,0.8,0.5,0.5,0.2,0.7,23.34,21.07,32.71,4.27,0.4,0.75,5020,3720,1120,930,13,9.6,1500,1120,1658.4,4.93
